sku_id,date,sales_units,promo_flag,category
SKU_001,2024-01-01,190,False,Category_2
SKU_001,2024-01-02,213,False,Category_2
SKU_001,2024-01-03,185,False,Category_2
SKU_001,2024-01-04,202,False,Category_2
SKU_001,2024-01-05,214,False,Category_2
SKU_001,2024-01-06,225,False,Category_2
SKU_001,2024-01-07,250,False,Category_2
SKU_001,2024-01-08,200,False,Category_2
SKU_001,2024-01-09,214,False,Category_2
SKU_001,2024-01-10,292,True,Category_2
SKU_001,2024-01-11,236,False,Category_2
SKU_001,2024-01-12,211,False,Category_2
SKU_001,2024-01-13,205,False,Category_2
SKU_001,2024-01-14,287,False,Category_2
SKU_001,2024-01-15,233,False,Category_2
SKU_001,2024-01-16,193,False,Category_2
SKU_001,2024-01-17,210,False,Category_2
SKU_001,2024-01-18,194,False,Category_2
SKU_001,2024-01-19,190,False,Category_2
SKU_001,2024-01-20,256,False,Category_2
SKU_001,2024-01-21,262,False,Category_2
SKU_001,2024-01-22,375,True,Category_2
SKU_001,2024-01-23,204,False,Category_2
SKU_001,2024-01-24,252,False,Category_2
SKU_001,2024-01-25,232,False,Category_2
SKU_001,2024-01-26,396,True,Category_2
SKU_001,2024-01-27,232,False,Category_2
SKU_001,2024-01-28,294,False,Category_2
SKU_001,2024-01-29,229,False,Category_2
SKU_001,2024-01-30,224,False,Category_2
SKU_001,2024-01-31,253,False,Category_2
SKU_001,2024-02-01,372,True,Category_2
SKU_001,2024-02-02,249,False,Category_2
SKU_001,2024-02-03,288,False,Category_2
SKU_001,2024-02-04,275,False,Category_2
SKU_001,2024-02-05,218,False,Category_2
SKU_001,2024-02-06,199,False,Category_2
SKU_001,2024-02-07,253,False,Category_2
SKU_001,2024-02-08,216,False,Category_2
SKU_001,2024-02-09,258,False,Category_2
SKU_001,2024-02-10,270,False,Category_2
SKU_001,2024-02-11,299,False,Category_2
SKU_001,2024-02-12,240,False,Category_2
SKU_001,2024-02-13,266,False,Category_2
SKU_001,2024-02-14,250,False,Category_2
SKU_001,2024-02-15,219,False,Category_2
SKU_001,2024-02-16,248,False,Category_2
SKU_001,2024-02-17,312,False,Category_2
SKU_001,2024-02-18,252,False,Category_2
SKU_001,2024-02-19,269,False,Category_2
SKU_001,2024-02-20,237,False,Category_2
SKU_001,2024-02-21,213,False,Category_2
SKU_001,2024-02-22,361,True,Category_2
SKU_001,2024-02-23,228,False,Category_2
SKU_001,2024-02-24,260,False,Category_2
SKU_001,2024-02-25,270,False,Category_2
SKU_001,2024-02-26,300,False,Category_2
SKU_001,2024-02-27,248,False,Category_2
SKU_001,2024-02-28,240,False,Category_2
SKU_001,2024-02-29,239,False,Category_2
SKU_001,2024-03-01,253,False,Category_2
SKU_001,2024-03-02,304,False,Category_2
SKU_001,2024-03-03,424,True,Category_2
SKU_001,2024-03-04,267,False,Category_2
SKU_001,2024-03-05,254,False,Category_2
SKU_001,2024-03-06,265,False,Category_2
SKU_001,2024-03-07,293,False,Category_2
SKU_001,2024-03-08,284,False,Category_2
SKU_001,2024-03-09,376,False,Category_2
SKU_001,2024-03-10,348,False,Category_2
SKU_001,2024-03-11,277,False,Category_2
SKU_001,2024-03-12,364,True,Category_2
SKU_001,2024-03-13,290,False,Category_2
SKU_001,2024-03-14,249,False,Category_2
SKU_001,2024-03-15,310,False,Category_2
SKU_001,2024-03-16,314,False,Category_2
SKU_001,2024-03-17,335,False,Category_2
SKU_001,2024-03-18,235,False,Category_2
SKU_001,2024-03-19,272,False,Category_2
SKU_001,2024-03-20,196,False,Category_2
SKU_001,2024-03-21,239,False,Category_2
SKU_001,2024-03-22,279,False,Category_2
SKU_001,2024-03-23,441,True,Category_2
SKU_001,2024-03-24,297,False,Category_2
SKU_001,2024-03-25,263,False,Category_2
SKU_001,2024-03-26,275,False,Category_2
SKU_001,2024-03-27,287,False,Category_2
SKU_001,2024-03-28,234,False,Category_2
SKU_001,2024-03-29,286,False,Category_2
SKU_001,2024-03-30,461,True,Category_2
SKU_001,2024-03-31,335,False,Category_2
SKU_001,2024-04-01,291,False,Category_2
SKU_001,2024-04-02,236,False,Category_2
SKU_001,2024-04-03,233,False,Category_2
SKU_001,2024-04-04,262,False,Category_2
SKU_001,2024-04-05,252,False,Category_2
SKU_001,2024-04-06,342,False,Category_2
SKU_001,2024-04-07,344,False,Category_2
SKU_001,2024-04-08,321,False,Category_2
SKU_001,2024-04-09,265,False,Category_2
SKU_001,2024-04-10,392,True,Category_2
SKU_001,2024-04-11,272,False,Category_2
SKU_001,2024-04-12,295,False,Category_2
SKU_001,2024-04-13,271,False,Category_2
SKU_001,2024-04-14,313,False,Category_2
SKU_001,2024-04-15,219,False,Category_2
SKU_001,2024-04-16,214,False,Category_2
SKU_001,2024-04-17,254,False,Category_2
SKU_001,2024-04-18,256,False,Category_2
SKU_001,2024-04-19,268,False,Category_2
SKU_001,2024-04-20,281,False,Category_2
SKU_001,2024-04-21,292,False,Category_2
SKU_001,2024-04-22,224,False,Category_2
SKU_001,2024-04-23,324,True,Category_2
SKU_001,2024-04-24,228,False,Category_2
SKU_001,2024-04-25,293,False,Category_2
SKU_001,2024-04-26,279,False,Category_2
SKU_001,2024-04-27,294,False,Category_2
SKU_001,2024-04-28,252,False,Category_2
SKU_001,2024-04-29,267,False,Category_2
SKU_001,2024-04-30,236,False,Category_2
SKU_001,2024-05-01,259,False,Category_2
SKU_001,2024-05-02,240,False,Category_2
SKU_001,2024-05-03,250,False,Category_2
SKU_001,2024-05-04,256,False,Category_2
SKU_001,2024-05-05,363,False,Category_2
SKU_001,2024-05-06,255,False,Category_2
SKU_001,2024-05-07,255,False,Category_2
SKU_001,2024-05-08,259,False,Category_2
SKU_001,2024-05-09,203,False,Category_2
SKU_001,2024-05-10,279,False,Category_2
SKU_001,2024-05-11,294,False,Category_2
SKU_001,2024-05-12,275,False,Category_2
SKU_001,2024-05-13,387,True,Category_2
SKU_001,2024-05-14,214,False,Category_2
